REF_DATE,GEO,DGUID,Products and product groups,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
Apr-20,Newfoundland and Labrador,2016A000210,"Household operations, furnishings and equipment",2002=100,17,units,0,v41691289,3.96,122.3,,,,1
May-20,Newfoundland and Labrador,2016A000210,"Household operations, furnishings and equipment",2002=100,17,units,0,v41691289,3.96,122.2,,,,1
Jun-20,Newfoundland and Labrador,2016A000210,"Household operations, furnishings and equipment",2002=100,17,units,0,v41691289,3.96,121.8,,,,1
Jul-20,Newfoundland and Labrador,2016A000210,"Household operations, furnishings and equipment",2002=100,17,units,0,v41691289,3.96,122.3,,,,1
Aug-20,Newfoundland and Labrador,2016A000210,"Household operations, furnishings and equipment",2002=100,17,units,0,v41691289,3.96,123,,,,1
Sep-20,Newfoundland and Labrador,2016A000210,"Household operations, furnishings and equipment",2002=100,17,units,0,v41691289,3.96,123.4,,,,1
Oct-20,Newfoundland and Labrador,2016A000210,"Household operations, furnishings and equipment",2002=100,17,units,0,v41691289,3.96,123.2,,,,1
Nov-20,Newfoundland and Labrador,2016A000210,"Household operations, furnishings and equipment",2002=100,17,units,0,v41691289,3.96,123,,,,1
Dec-20,Newfoundland and Labrador,2016A000210,"Household operations, furnishings and equipment",2002=100,17,units,0,v41691289,3.96,122.5,,,,1
Jan-21,Newfoundland and Labrador,2016A000210,"Household operations, furnishings and equipment",2002=100,17,units,0,v41691289,3.96,123,,,,1
Feb-21,Newfoundland and Labrador,2016A000210,"Household operations, furnishings and equipment",2002=100,17,units,0,v41691289,3.96,120.7,,,,1
Mar-21,Newfoundland and Labrador,2016A000210,"Household operations, furnishings and equipment",2002=100,17,units,0,v41691289,3.96,118.5,,,,1
Apr-21,Newfoundland and Labrador,2016A000210,"Household operations, furnishings and equipment",2002=100,17,units,0,v41691289,3.96,120.4,,,,1
May-21,Newfoundland and Labrador,2016A000210,"Household operations, furnishings and equipment",2002=100,17,units,0,v41691289,3.96,120,,,,1
Jun-21,Newfoundland and Labrador,2016A000210,"Household operations, furnishings and equipment",2002=100,17,units,0,v41691289,3.96,119.5,,,,1
Jul-21,Newfoundland and Labrador,2016A000210,"Household operations, furnishings and equipment",2002=100,17,units,0,v41691289,3.96,120.2,,,,1
Aug-21,Newfoundland and Labrador,2016A000210,"Household operations, furnishings and equipment",2002=100,17,units,0,v41691289,3.96,119.8,,,,1
Sep-21,Newfoundland and Labrador,2016A000210,"Household operations, furnishings and equipment",2002=100,17,units,0,v41691289,3.96,119.8,,,,1
Oct-21,Newfoundland and Labrador,2016A000210,"Household operations, furnishings and equipment",2002=100,17,units,0,v41691289,3.96,120.9,,,,1
Nov-21,Newfoundland and Labrador,2016A000210,"Household operations, furnishings and equipment",2002=100,17,units,0,v41691289,3.96,120.8,,,,1
